order_id,order_date,category,unit_price,quantity,total_amount,customer_segment,customer_age,sales_channel,region,discount_applied
ORD_000001,2025-05-20,Electronics,93.83,1,93.83,VIP,26,Store,North,0.05
ORD_000002,2025-06-27,Beauty,115.13,2,230.26,Regular,20,Online,North,0.15
ORD_000003,2023-11-08,Clothing,61.88,1,76.93,Premium,53,Store,South,0.0
ORD_000004,2025-07-23,Sports,140.37,2,326.73,Regular,35,Mobile App,North,0.0
ORD_000005,2024-01-15,Beauty,68.45,3,205.35,Regular,66,Online,East,0.05
ORD_000006,2023-11-17,Electronics,790.86,1,911.78,Regular,40,Store,Central,0.0
ORD_000007,2023-09-18,Beauty,65.47,1,65.47,Regular,23,Store,Central,0.15
ORD_000008,2024-05-31,Beauty,98.5,1,98.5,Regular,54,Online,South,0.0
ORD_000009,2025-07-26,Electronics,125.42,1,125.42,Premium,23,Online,South,0.1
ORD_000010,2023-11-16,Books,21.12,2,49.59,Regular,41,Online,South,0.0
ORD_000011,2024-03-06,Beauty,51.04,2,102.08,Regular,59,Online,North,0.0
ORD_000012,2025-04-19,Beauty,38.1,4,152.41,VIP,28,Mobile App,West,0.0
ORD_000013,2024-08-27,Home & Garden,494.92,1,494.92,Regular,53,Store,South,0.0
ORD_000014,2025-07-06,Home & Garden,423.78,1,423.78,Regular,32,Store,North,0.0
ORD_000015,2024-06-23,Books,16.57,1,16.57,VIP,74,Online,East,0.2
ORD_000016,2024-03-09,Beauty,82.4,2,164.79,Regular,59,Store,West,0.0
ORD_000017,2023-12-29,Home & Garden,82.72,2,206.7,Regular,52,Mobile App,East,0.0
ORD_000018,2024-10-16,Sports,128.09,3,384.28,VIP,50,Mobile App,West,0.05
ORD_000019,2023-11-06,Electronics,1642.69,2,4005.81,VIP,68,Online,West,0.05
ORD_000020,2024-09-02,Books,33.84,1,33.84,Regular,34,Online,Central,0.0
ORD_000021,2023-08-16,Beauty,112.3,1,112.3,Regular,52,Mobile App,East,0.0
ORD_000022,2025-05-22,Home & Garden,69.1,1,69.1,Regular,47,Store,North,0.0
ORD_000023,2024-04-30,Sports,234.54,1,234.54,Premium,24,Online,East,0.0
ORD_000024,2025-05-20,Sports,182.84,5,914.22,Premium,52,Online,Central,0.05
ORD_000025,2023-08-05,Sports,102.73,1,111.55,Premium,74,Store,East,0.1
ORD_000026,2024-04-07,Sports,242.6,2,485.2,Premium,70,Online,North,0.15
ORD_000027,2025-01-31,Clothing,43.11,1,43.11,Regular,53,Mobile App,South,0.0
ORD_000028,2024-05-02,Sports,264.92,2,529.84,Regular,31,Online,Central,0.0
ORD_000029,2025-07-11,Clothing,148.33,1,165.49,Regular,60,Store,East,0.0
